id_alimento;id_usuario;nome_alimento;estado_alimento;alimento_verificado;grupo_alimentar;marca_alimento;alimento_ativo;dtt_criacao_alimento;id_tabela_nutricional;unidade_medida;porcao_padrao;kcal;qtde_proteina;qtde_gordura;qtde_carboidrato;qtde_alcool;qtde_fibra;qtde_saturada;qtde_monosaturada;qtde_polisaturada;qtde_trans;qtde_acucar;qtde_calcio;qtde_ferro;qtde_sodio;qtde_potassio;qtde_vitamina_a;qtde_vitamina_d;qtde_vitamina_e;qtde_vitamina_c
6400701;;Cará;Sopa;;VEGANO;;;;;;;31,44;0,95;0,12;7,01;;0,71;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400713;;Inhame caraquento (cará);Cozido(a);;VEGANO;;;;;;;100,00;1,71;0,12;23,40;;1,80;0,03;0,01;0,05;-;6,47;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400802;;Batata (não especificada);Cru(a);;VEGANO;;;;;;;86,00;1,71;0,10;20,01;;2,05;0,03;0,00;0,04;-;0,86;8,00;0,31;5,00;328,00;0,17;-;0,06;7,40
6400802;;Batata (não especificada);Cozido(a);;VEGANO;;;;;;;86,00;1,71;0,10;20,01;;2,05;0,03;0,00;0,04;-;0,86;8,00;0,31;5,00;328,00;0,17;-;0,06;7,40
6400802;;Batata (não especificada);Grelhado(a)/brasa/churrasco;;VEGANO;;;;;;;86,00;1,71;0,10;20,01;;2,05;0,03;0,00;0,04;-;0,86;8,00;0,31;5,00;328,00;0,17;-;0,06;7,40
6400802;;Batata (não especificada);Assado(a);;VEGANO;;;;;;;86,00;1,71;0,10;20,01;;2,05;0,03;0,00;0,04;-;0,86;8,00;0,31;5,00;328,00;0,17;-;0,06;7,40
6400802;;Batata (não especificada);Frito(a);;VEGANO;;;;;;;263,50;2,87;13,64;33,60;;3,44;0,03;0,00;0,04;-;0,86;8,00;0,31;5,00;328,00;0,17;-;0,06;7,40
6400802;;Batata (não especificada);Refogado(a);;VEGANO;;;;;;;111,74;1,71;3,01;20,01;;2,05;0,03;0,00;0,04;-;0,86;8,00;0,31;5,00;328,00;0,17;-;0,06;7,40
6400802;;Batata (não especificada);Molho vermelho;;VEGANO;;;;;;;73,60;1,63;0,12;17,08;;1,94;0,03;0,00;0,04;-;0,86;8,00;0,31;5,00;328,00;0,17;-;0,06;7,40
6400802;;Batata (não especificada);Molho branco;;VEGANO;;;;;;;101,39;2,15;2,57;17,86;;1,68;0,03;0,00;0,04;-;0,86;8,00;0,31;5,00;328,00;0,17;-;0,06;7,40
