id_alimento,id_usuario,nome_alimento,estado_alimento,alimento_verificado,grupo_alimentar,marca_alimento,alimento_ativo,dtt_criacao_alimento,id_tabela_nutricional,unidade_medida,porcao_padrao,kcal,qtde_proteina,qtde_gordura,qtde_carboidrato,qtde_alcool,qtde_fibra,qtde_saturada,qtde_monosaturada,qtde_polisaturada,qtde_trans,qtde_acucar,qtde_calcio,qtde_ferro,qtde_sodio,qtde_potassio,qtde_vitamina_a,qtde_vitamina_d,qtde_vitamina_e,qtde_vitamina_c
48,,Inhame,FRITO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,48,GRAMA,100,115.7,1.7,1.9,23.4,0.0,1.8,0.0,0.0,0.0,0.0,3.3,35.0,0.5,8.0,377.0,1043.5,,0.8,9.1
49,,Inhame,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,49,GRAMA,100,115.7,1.7,1.9,23.4,0.0,1.8,0.0,0.0,0.0,0.0,3.3,35.0,0.5,8.0,377.0,1043.5,,0.8,9.1
50,,Quicaré,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,50,GRAMA,100,100.0,1.7,0.1,23.4,0.0,1.8,0.0,0.0,0.1,,6.5,35.0,0.5,8.0,377.0,1043.5,,0.8,9.1
51,,Mandioca,CRU,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,51,GRAMA,100,125.0,0.6,0.3,30.1,0.0,1.6,0.1,0.1,0.1,,,19.0,0.1,1.0,100.0,,,,11.1
52,,Mandioca,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,52,GRAMA,100,125.0,0.6,0.3,30.1,0.0,1.6,0.1,0.1,0.1,,,19.0,0.1,1.0,100.0,,,,11.1
53,,Mandioca,ASSADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,53,GRAMA,100,125.0,0.6,0.3,30.1,0.0,1.6,0.1,0.1,0.1,,,19.0,0.1,1.0,100.0,,,,11.1
54,,Mandioca,FRITO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,54,GRAMA,100,162.7,0.6,5.3,28.6,0.0,1.5,0.1,0.1,0.1,,,19.0,0.1,1.0,100.0,,,,11.1
55,,Mandioca,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,55,GRAMA,100,162.7,0.6,5.3,28.6,0.0,1.5,0.1,0.1,0.1,,,19.0,0.1,1.0,100.0,,,,11.1
56,,Aipim,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,56,GRAMA,100,125.0,0.6,0.3,30.1,0.0,1.6,0.1,0.1,0.1,,,19.0,0.1,1.0,100.0,,,,11.1
57,,Aipim,ASSADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,57,GRAMA,100,125.0,0.6,0.3,30.1,0.0,1.6,0.1,0.1,0.1,,,19.0,0.1,1.0,100.0,,,,11.1
