id_tabela_nutricional,kcal,porcao_padrao,qtde_acucar,qtde_alcool,qtde_calcio,qtde_carboidrato,qtde_ferro,qtde_fibra,qtde_gordura,qtde_monosaturada,qtde_polisaturada,qtde_potassio,qtde_proteina,qtde_saturada,qtde_sodio,qtde_trans,qtde_vitamina_a,qtde_vitamina_c,qtde_vitamina_d,qtde_vitamina_e,unidade_medida,id_alimento
87,47.7,100,1.9,0.0,33.0,5.1,0.2,2.0,3.0,0.7,1.7,177.0,0.7,0.5,16.0,0.0,,11.6,,0.0,GRAMA,87
88,310.0,100,,0.0,111.0,65.4,11.1,3.9,5.8,0.4,2.1,1724.0,11.4,1.6,148.0,,26.5,80.8,,1.7,GRAMA,88
89,263.5,100,1.4,0.0,13.4,33.6,0.5,3.4,13.6,3.1,7.8,550.8,2.9,2.1,8.4,0.1,0.3,12.4,,1.2,GRAMA,89
90,148.3,100,17.4,0.0,110.5,26.1,0.1,0.3,3.3,0.8,0.2,147.2,3.8,1.8,387.3,0.1,27.4,0.2,1.0,0.1,GRAMA,90
91,148.3,100,17.4,0.0,110.5,26.1,0.1,0.3,3.3,0.8,0.2,147.2,3.8,1.8,387.3,0.1,27.4,0.2,1.0,0.1,GRAMA,91
92,78.2,100,7.2,0.0,124.6,10.5,0.2,0.2,3.1,0.9,0.6,156.8,2.4,1.4,319.3,0.2,30.1,0.1,0.5,0.2,GRAMA,92
93,148.3,100,17.4,0.0,110.5,26.1,0.1,0.3,3.3,0.8,0.2,147.2,3.8,1.8,387.3,0.1,27.4,0.2,1.0,0.1,GRAMA,93
94,387.0,100,0.9,0.0,7.0,77.9,3.2,14.5,4.5,1.1,2.6,329.0,12.9,0.7,8.0,,9.8,,,0.3,GRAMA,94
95,384.0,100,1.6,0.0,52.0,67.0,4.2,9.8,6.3,2.0,2.3,350.0,16.0,1.1,4.0,,,,,0.7,GRAMA,95
96,384.0,100,1.6,0.0,52.0,67.0,4.2,9.8,6.3,2.0,2.3,350.0,16.0,1.1,4.0,,,,,0.7,GRAMA,96
97,60.6,100,0.5,0.0,2.8,13.0,0.6,0.3,0.2,0.1,0.1,23.2,1.4,0.0,2.6,,0.0,,,0.0,GRAMA,97
98,351.0,100,,0.0,1.0,79.1,2.3,5.5,1.5,0.4,0.6,58.0,7.2,0.4,45.0,,9.0,,,,GRAMA,98
99,311.0,100,8.3,0.0,83.0,45.1,0.7,0.7,12.4,3.9,1.5,118.0,4.8,4.5,134.0,2.0,,,,,GRAMA,99
100,311.0,100,8.3,0.0,83.0,45.1,0.7,0.7,12.4,3.9,1.5,118.0,4.8,4.5,134.0,2.0,,,,,GRAMA,100
101,160.1,100,3.2,0.0,3.1,25.1,0.5,4.2,7.2,1.7,4.0,212.1,3.3,1.1,245.0,0.0,13.2,6.2,,0.6,GRAMA,101
102,78.2,100,7.2,0.0,124.6,10.5,0.2,0.2,3.1,0.9,0.6,156.8,2.4,1.4,319.3,0.2,30.1,0.1,0.5,0.2,GRAMA,102
103,78.2,100,7.2,0.0,124.6,10.5,0.2,0.2,3.1,0.9,0.6,156.8,2.4,1.4,319.3,0.2,30.1,0.1,0.5,0.2,GRAMA,103
104,148.3,100,17.4,0.0,110.5,26.1,0.1,0.3,3.3,0.8,0.2,147.2,3.8,1.8,387.3,0.1,27.4,0.2,1.0,0.1,GRAMA,104
105,78.2,100,7.2,0.0,124.6,10.5,0.2,0.2,3.1,0.9,0.6,156.8,2.4,1.4,319.3,0.2,30.1,0.1,0.5,0.2,GRAMA,105
106,128.3,100,0.7,0.0,10.7,26.4,0.4,1.7,0.2,0.0,0.1,57.5,4.3,0.0,261.5,,0.1,,,0.1,GRAMA,106
