id_alimento,id_usuario,nome_alimento,estado_alimento,alimento_verificado,grupo_alimentar,marca_alimento,dtt_criacao_alimento,alimento_ativo
226,,Serralha,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
227,,Serralha,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
228,,Caruru,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
229,,Cuxá,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
230,,Vinagreira,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
231,,Cariru,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
232,,Rúcula,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
233,,Jambu,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
234,,Língua de vaca,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
235,,Alcachofra,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
236,,Bredo,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
237,,Salsão,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
238,,Erva-doce,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
239,,Folha de aipim,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
240,,Folha de macaxeira,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
241,,Broto de feijão,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
242,,Broto de feijão,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
243,,Moranga,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
244,,Moranga,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
245,,Abobrinha,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
246,,Abobrinha,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
247,,Abobrinha,GRELHADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
248,,Abobrinha,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
249,,Abobrinha,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
250,,Abobrinha,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
251,,Jerimum,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
252,,Jerimum,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
253,,Abóbora,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
254,,Abóbora,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
255,,Abóbora,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
256,,Abóbora,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
257,,Abóbora,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
258,,Pépino,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
259,,Chuchu,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
260,,Chuchu,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
261,,Chuchu,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
262,,Chuchu,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
263,,Jiló,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
264,,Jiló,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
265,,Jiló,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
266,,Jiló,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
267,,Jiló,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
268,,Maxixe,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
269,,Maxixe,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
270,,Maxixe,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
271,,Pepininho,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
272,,Palmito in natura,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
